indonesia,osing
ibu memukul pisau ke dapur,mak nyampat lading nyang pawon
ibu mengambil pisang ke pasar,mak njuwut gedhang nyang pasar
aku membawa kunci di rumah,isun nggowo kunci nong umah
aku mengambil buku ke pasar,isun njuwut buku nyang pasar
anak melihat anak ke dapur,lare ndeleng lare nyang pawon
saya mencium pisang dari bukit,isun ngambung gedhang teko puthuk
mereka memukul buku dari sungai,wong-wong nyampat buku teko kali
nenek memasak anak dari sungai,embyah ngolah lare teko kali
aku mengambil pisang di rumah,isun njuwut gedhang nong umah
dia membawa pisau,yane nggowo lading
mereka mencium bunga,wong-wong ngambung kembang
mereka memanggil pisang dari sungai,wong-wong ngundang gedhang teko kali
kamu menyapu kunci dari pasar,riko nyapu kunci teko pasar
bapak mencium sayur ke dapur,bapak ngambung jangan nyang pawon
kamu memasak buku di rumah,riko ngolah buku nong umah
aku memukul air,isun nyampat byanyu
mereka menyapu air dari pasar,wong-wong nyapu byanyu teko pasar
nenek menyapu bunga di sungai,embyah nyapu kembang nong kali
dia mengambil buku dari sungai,yane njuwut buku teko kali
kamu menyimpan air dari sungai,riko nyimpen byanyu teko kali
ibu menyapu buku di sungai,mak nyapu buku nong kali
dia membawa anak ke dapur,yane nggowo lare nyang pawon
aku membawa pisau,isun nggowo lading
saya melihat pisang,isun ndeleng gedhang
nenek melihat air di pasar,embyah ndeleng byanyu nong pasar
bapak mengambil nasi,bapak njuwut sego
kamu memukul air ke bukit,riko nyampat byanyu nyang puthuk
ibu memukul pisang ke bukit,mak nyampat gedhang nyang puthuk
dia membawa kunci ke pasar,yane nggowo kunci nyang pasar
kamu memukul sayur dari rumah,riko nyampat jangan teko umah
ibu memasak anak,mak ngolah lare
saya memanggil nasi ke dapur,isun ngundang sego nyang pawon
ibu mengambil anak,mak njuwut lare
ibu menyimpan nasi dari dapur,mak nyimpen sego teko pawon
ibu membawa nasi ke bukit,mak nggowo sego nyang puthuk
nenek melihat pisang dari pasar,embyah ndeleng gedhang teko pasar
dia membawa kunci di pasar,yane nggowo kunci nong pasar
saya menyimpan bunga,isun nyimpen kembang
anak mengambil pisau di pasar,lare njuwut lading nong pasar
ibu menyapu anak ke rumah,mak nyapu lare nyang umah
saya mencium nasi di rumah,isun ngambung sego nong umah
kamu mengambil buku di sungai,riko njuwut buku nong kali
bapak mengambil air,bapak njuwut byanyu
aku menyapu air,isun nyapu byanyu
anak melihat anak,lare ndeleng lare
ibu menyapu bunga di sungai,mak nyapu kembang nong kali
nenek memukul bunga di pasar,embyah nyampat kembang nong pasar
saya memasak nasi dari bukit,isun ngolah sego teko puthuk
kamu membawa pisau,riko nggowo lading
ibu memukul anak ke dapur,mak nyampat lare nyang pawon
mereka mengambil air dari dapur,wong-wong njuwut byanyu teko pawon
aku memukul nasi,isun nyampat sego
ibu membawa buku,mak nggowo buku
dia mengambil pisau,yane njuwut lading
dia memasak buku,yane ngolah buku
ibu menyapu buku dari bukit,mak nyapu buku teko puthuk
ibu membawa buku ke bukit,mak nggowo buku nyang puthuk
bapak menyapu anak di dapur,bapak nyapu lare nong pawon
ibu melihat pisang di bukit,mak ndeleng gedhang nong puthuk
kamu menyapu kunci,riko nyapu kunci
ibu membawa kunci ke dapur,mak nggowo kunci nyang pawon
bapak mencium buku ke rumah,bapak ngambung buku nyang umah
dia mencium buku ke sungai,yane ngambung buku nyang kali
ibu mengambil nasi ke dapur,mak njuwut sego nyang pawon
saya mencium pisang dari dapur,isun ngambung gedhang teko pawon
nenek mengambil sayur ke pasar,embyah njuwut jangan nyang pasar
dia membawa buku ke rumah,yane nggowo buku nyang umah
anak memasak nasi,lare ngolah sego
aku membawa pisau dari sungai,isun nggowo lading teko kali
nenek menyimpan kunci di rumah,embyah nyimpen kunci nong umah
mereka mengambil pisang di bukit,wong-wong njuwut gedhang nong puthuk
anak memanggil pisang dari rumah,lare ngundang gedhang teko umah
ibu melihat kunci di pasar,mak ndeleng kunci nong pasar
mereka memasak anak,wong-wong ngolah lare
aku membawa sayur,isun nggowo jangan
anak memanggil kunci di rumah,lare ngundang kunci nong umah
anak mengambil buku ke dapur,lare njuwut buku nyang pawon
nenek mencium sayur ke sungai,embyah ngambung jangan nyang kali
mereka menyimpan sayur di bukit,wong-wong nyimpen jangan nong puthuk
bapak melihat bunga,bapak ndeleng kembang
dia mengambil nasi,yane njuwut sego
dia melihat sayur dari bukit,yane ndeleng jangan teko puthuk
kamu memasak buku,riko ngolah buku
nenek membawa nasi di pasar,embyah nggowo sego nong pasar
dia mencium nasi,yane ngambung sego
kamu melihat sayur di pasar,riko ndeleng jangan nong pasar
saya melihat sayur ke pasar,isun ndeleng jangan nyang pasar
dia melihat anak,yane ndeleng lare
kamu menyimpan pisang ke sungai,riko nyimpen gedhang nyang kali
kamu memanggil nasi,riko ngundang sego
dia memasak buku ke dapur,yane ngolah buku nyang pawon
kamu mencium kunci ke bukit,riko ngambung kunci nyang puthuk
kamu menyapu anak di rumah,riko nyapu lare nong umah
ibu memasak pisang di dapur,mak ngolah gedhang nong pawon
aku mengambil kunci,isun njuwut kunci
saya memanggil pisau,isun ngundang lading
kamu memasak nasi di rumah,riko ngolah sego nong umah
mereka memukul pisang dari rumah,wong-wong nyampat gedhang teko umah
ibu memanggil kunci,mak ngundang kunci
aku mencium anak dari dapur,isun ngambung lare teko pawon
anak menyimpan pisau,lare nyimpen lading
mereka menyimpan pisang ke rumah,wong-wong nyimpen gedhang nyang umah
bapak memukul bunga,bapak nyampat kembang
mereka memasak buku di pasar,wong-wong ngolah buku nong pasar
aku mengambil sayur ke pasar,isun njuwut jangan nyang pasar
mereka menyimpan anak di dapur,wong-wong nyimpen lare nong pawon
anak memanggil pisau dari dapur,lare ngundang lading teko pawon
dia mencium anak di sungai,yane ngambung lare nong kali
kamu memukul nasi di rumah,riko nyampat sego nong umah
anak membawa nasi di dapur,lare nggowo sego nong pawon
mereka membawa pisang ke bukit,wong-wong nggowo gedhang nyang puthuk
anak memanggil anak ke dapur,lare ngundang lare nyang pawon
aku menyimpan pisau,isun nyimpen lading
aku memasak sayur,isun ngolah jangan
nenek mencium pisau dari dapur,embyah ngambung lading teko pawon
anak melihat air,lare ndeleng byanyu
nenek memukul air ke rumah,embyah nyampat byanyu nyang umah
saya menyimpan buku ke dapur,isun nyimpen buku nyang pawon
aku memanggil anak dari rumah,isun ngundang lare teko umah
dia menyapu pisau ke dapur,yane nyapu lading nyang pawon
dia membawa pisang,yane nggowo gedhang
aku menyapu pisau ke pasar,isun nyapu lading nyang pasar
anak menyapu air ke dapur,lare nyapu byanyu nyang pawon
bapak memukul bunga dari bukit,bapak nyampat kembang teko puthuk
dia memanggil kunci dari sungai,yane ngundang kunci teko kali
dia mengambil nasi dari sungai,yane njuwut sego teko kali
bapak memukul sayur,bapak nyampat jangan
dia memasak nasi dari bukit,yane ngolah sego teko puthuk
ibu memukul kunci dari bukit,mak nyampat kunci teko puthuk
ibu membawa pisau,mak nggowo lading
nenek memukul pisau dari dapur,embyah nyampat lading teko pawon
bapak membawa nasi,bapak nggowo sego
bapak memukul pisang ke bukit,bapak nyampat gedhang nyang puthuk
mereka membawa pisau di dapur,wong-wong nggowo lading nong pawon
anak menyapu pisang ke pasar,lare nyapu gedhang nyang pasar
anak memasak pisau,lare ngolah lading
aku menyimpan kunci ke sungai,isun nyimpen kunci nyang kali
nenek mengambil pisau dari sungai,embyah njuwut lading teko kali
aku memanggil pisang,isun ngundang gedhang
bapak melihat anak di sungai,bapak ndeleng lare nong kali
mereka memukul bunga dari rumah,wong-wong nyampat kembang teko umah
anak menyimpan bunga di pasar,lare nyimpen kembang nong pasar
bapak memukul kunci ke pasar,bapak nyampat kunci nyang pasar
kamu menyapu kunci ke sungai,riko nyapu kunci nyang kali
ibu mengambil pisang di pasar,mak njuwut gedhang nong pasar
ibu memasak sayur dari dapur,mak ngolah jangan teko pawon
bapak memukul nasi,bapak nyampat sego
saya memukul air,isun nyampat byanyu
bapak mengambil sayur dari dapur,bapak njuwut jangan teko pawon
nenek memanggil anak dari pasar,embyah ngundang lare teko pasar
bapak memasak anak di bukit,bapak ngolah lare nong puthuk
mereka melihat bunga ke rumah,wong-wong ndeleng kembang nyang umah
saya memasak nasi dari pasar,isun ngolah sego teko pasar
dia mengambil buku,yane njuwut buku
aku memasak anak,isun ngolah lare
saya memasak pisau ke bukit,isun ngolah lading nyang puthuk
ibu menyimpan anak di pasar,mak nyimpen lare nong pasar
mereka membawa nasi,wong-wong nggowo sego
saya melihat buku,isun ndeleng buku
mereka mencium air dari sungai,wong-wong ngambung byanyu teko kali
dia melihat buku,yane ndeleng buku
anak menyapu anak ke pasar,lare nyapu lare nyang pasar
saya memanggil nasi ke sungai,isun ngundang sego nyang kali
anak membawa pisau ke rumah,lare nggowo lading nyang umah
bapak memanggil bunga ke pasar,bapak ngundang kembang nyang pasar
bapak memanggil buku,bapak ngundang buku
anak mencium buku di rumah,lare ngambung buku nong umah
ibu mencium sayur,mak ngambung jangan
kamu mengambil kunci ke pasar,riko njuwut kunci nyang pasar
bapak memanggil kunci dari pasar,bapak ngundang kunci teko pasar
dia menyimpan anak dari pasar,yane nyimpen lare teko pasar
bapak memukul nasi ke pasar,bapak nyampat sego nyang pasar
ibu memanggil kunci di bukit,mak ngundang kunci nong puthuk
anak memanggil buku ke bukit,lare ngundang buku nyang puthuk
anak membawa pisau ke pasar,lare nggowo lading nyang pasar
mereka memanggil kunci ke rumah,wong-wong ngundang kunci nyang umah
bapak memukul sayur dari rumah,bapak nyampat jangan teko umah
kamu melihat nasi ke sungai,riko ndeleng sego nyang kali
aku memanggil buku,isun ngundang buku
kamu menyimpan bunga,riko nyimpen kembang
kamu memasak nasi di sungai,riko ngolah sego nong kali
bapak memasak anak dari dapur,bapak ngolah lare teko pawon
bapak memukul kunci,bapak nyampat kunci
dia melihat bunga,yane ndeleng kembang
mereka menyimpan buku ke rumah,wong-wong nyimpen buku nyang umah
dia mencium bunga,yane ngambung kembang
bapak menyimpan anak di sungai,bapak nyimpen lare nong kali
anak mencium kunci di pasar,lare ngambung kunci nong pasar
dia melihat bunga dari dapur,yane ndeleng kembang teko pawon
dia melihat sayur,yane ndeleng jangan
mereka menyapu buku di pasar,wong-wong nyapu buku nong pasar
dia mencium sayur,yane ngambung jangan
kamu menyimpan buku di bukit,riko nyimpen buku nong puthuk
aku membawa air ke bukit,isun nggowo byanyu nyang puthuk
aku mencium kunci ke dapur,isun ngambung kunci nyang pawon
saya melihat pisang di pasar,isun ndeleng gedhang nong pasar
dia melihat bunga dari rumah,yane ndeleng kembang teko umah
mereka memasak nasi di rumah,wong-wong ngolah sego nong umah
mereka membawa anak,wong-wong nggowo lare
kamu membawa kunci,riko nggowo kunci
nenek memanggil pisang,embyah ngundang gedhang
nenek mencium pisang ke pasar,embyah ngambung gedhang nyang pasar
ibu membawa buku di dapur,mak nggowo buku nong pawon
saya membawa nasi,isun nggowo sego
aku mencium buku,isun ngambung buku
aku memanggil kunci ke rumah,isun ngundang kunci nyang umah
mereka memanggil buku dari dapur,wong-wong ngundang buku teko pawon
aku menyapu pisang di pasar,isun nyapu gedhang nong pasar
kamu membawa air ke bukit,riko nggowo byanyu nyang puthuk
saya menyimpan nasi dari pasar,isun nyimpen sego teko pasar
anak mencium air di sungai,lare ngambung byanyu nong kali
bapak memanggil pisau,bapak ngundang lading
bapak memasak pisau dari rumah,bapak ngolah lading teko umah
saya mengambil kunci,isun njuwut kunci
saya melihat bunga di rumah,isun ndeleng kembang nong umah
ibu memukul bunga ke rumah,mak nyampat kembang nyang umah
mereka menyapu air,wong-wong nyapu byanyu
anak mengambil sayur ke rumah,lare njuwut jangan nyang umah
anak mencium sayur di rumah,lare ngambung jangan nong umah
aku mengambil buku,isun njuwut buku
anak melihat anak dari dapur,lare ndeleng lare teko pawon
kamu melihat sayur,riko ndeleng jangan
aku memanggil pisau,isun ngundang lading
mereka menyimpan bunga,wong-wong nyimpen kembang
dia memukul kunci di pasar,yane nyampat kunci nong pasar
nenek melihat pisau ke rumah,embyah ndeleng lading nyang umah
bapak melihat bunga dari sungai,bapak ndeleng kembang teko kali
aku mengambil bunga dari pasar,isun njuwut kembang teko pasar
bapak menyimpan air di rumah,bapak nyimpen byanyu nong umah
aku memanggil sayur ke sungai,isun ngundang jangan nyang kali
mereka mencium pisau ke rumah,wong-wong ngambung lading nyang umah
ibu memukul pisau di pasar,mak nyampat lading nong pasar
bapak menyimpan pisang di pasar,bapak nyimpen gedhang nong pasar
bapak menyimpan pisau di dapur,bapak nyimpen lading nong pawon
aku membawa pisang di pasar,isun nggowo gedhang nong pasar
nenek membawa buku di pasar,embyah nggowo buku nong pasar
anak melihat bunga,lare ndeleng kembang
bapak membawa bunga di pasar,bapak nggowo kembang nong pasar
mereka mengambil kunci,wong-wong njuwut kunci
mereka mencium pisau ke bukit,wong-wong ngambung lading nyang puthuk
bapak menyapu sayur di dapur,bapak nyapu jangan nong pawon
bapak memasak bunga di sungai,bapak ngolah kembang nong kali
kamu menyapu nasi dari sungai,riko nyapu sego teko kali
ibu melihat buku ke dapur,mak ndeleng buku nyang pawon
ibu menyapu kunci ke bukit,mak nyapu kunci nyang puthuk
saya melihat buku,isun ndeleng buku
bapak membawa sayur,bapak nggowo jangan
bapak melihat anak ke bukit,bapak ndeleng lare nyang puthuk
dia membawa buku dari rumah,yane nggowo buku teko umah
anak menyapu kunci dari rumah,lare nyapu kunci teko umah
bapak mengambil sayur di dapur,bapak njuwut jangan nong pawon
saya memukul bunga dari bukit,isun nyampat kembang teko puthuk
nenek menyimpan pisau dari dapur,embyah nyimpen lading teko pawon
aku menyimpan pisang ke sungai,isun nyimpen gedhang nyang kali
mereka memukul air ke rumah,wong-wong nyampat byanyu nyang umah
aku membawa pisang ke sungai,isun nggowo gedhang nyang kali
bapak mencium pisau di rumah,bapak ngambung lading nong umah
mereka menyimpan kunci dari pasar,wong-wong nyimpen kunci teko pasar
mereka memanggil pisau dari sungai,wong-wong ngundang lading teko kali
kamu membawa sayur,riko nggowo jangan
anak membawa buku,lare nggowo buku
mereka membawa anak ke sungai,wong-wong nggowo lare nyang kali
ibu melihat anak,mak ndeleng lare
mereka memanggil sayur di rumah,wong-wong ngundang jangan nong umah
kamu membawa bunga ke pasar,riko nggowo kembang nyang pasar
saya menyapu sayur di pasar,isun nyapu jangan nong pasar
ibu mengambil pisau,mak njuwut lading
kamu membawa bunga ke rumah,riko nggowo kembang nyang umah
anak memanggil air dari sungai,lare ngundang byanyu teko kali
bapak mencium nasi dari bukit,bapak ngambung sego teko puthuk
kamu memanggil bunga dari dapur,riko ngundang kembang teko pawon
aku memanggil nasi,isun ngundang sego
kamu membawa bunga,riko nggowo kembang
anak mengambil sayur,lare njuwut jangan
mereka mencium sayur,wong-wong ngambung jangan
kamu mengambil nasi di sungai,riko njuwut sego nong kali
dia mengambil air dari dapur,yane njuwut byanyu teko pawon
mereka menyapu buku,wong-wong nyapu buku
dia menyapu buku,yane nyapu buku
anak mengambil buku,lare njuwut buku
mereka menyimpan air dari rumah,wong-wong nyimpen byanyu teko umah
mereka mencium buku di dapur,wong-wong ngambung buku nong pawon
saya membawa sayur,isun nggowo jangan
mereka mengambil buku dari rumah,wong-wong njuwut buku teko umah
dia menyimpan anak,yane nyimpen lare
saya melihat nasi di sungai,isun ndeleng sego nong kali
anak melihat anak di sungai,lare ndeleng lare nong kali
aku memukul anak dari bukit,isun nyampat lare teko puthuk
kamu memasak anak dari dapur,riko ngolah lare teko pawon
dia mencium nasi ke rumah,yane ngambung sego nyang umah
kamu memukul bunga dari sungai,riko nyampat kembang teko kali
anak memanggil sayur di bukit,lare ngundang jangan nong puthuk
mereka menyimpan anak ke bukit,wong-wong nyimpen lare nyang puthuk
aku memanggil sayur ke pasar,isun ngundang jangan nyang pasar
saya memukul air,isun nyampat byanyu
anak menyimpan sayur ke sungai,lare nyimpen jangan nyang kali
bapak mengambil bunga,bapak njuwut kembang
bapak menyapu kunci di pasar,bapak nyapu kunci nong pasar
bapak membawa nasi,bapak nggowo sego
ibu mengambil kunci di sungai,mak njuwut kunci nong kali
mereka membawa kunci ke bukit,wong-wong nggowo kunci nyang puthuk
mereka membawa bunga dari sungai,wong-wong nggowo kembang teko kali
saya memanggil air di sungai,isun ngundang byanyu nong kali
ibu menyapu anak dari rumah,mak nyapu lare teko umah
kamu memukul air dari sungai,riko nyampat byanyu teko kali
mereka memukul buku dari rumah,wong-wong nyampat buku teko umah
dia menyimpan buku,yane nyimpen buku
nenek membawa air dari rumah,embyah nggowo byanyu teko umah
kamu mencium bunga,riko ngambung kembang
kamu mencium sayur ke rumah,riko ngambung jangan nyang umah
kamu memanggil buku dari bukit,riko ngundang buku teko puthuk
anak memanggil air di pasar,lare ngundang byanyu nong pasar
ibu mengambil kunci,mak njuwut kunci
dia membawa pisang ke rumah,yane nggowo gedhang nyang umah
bapak membawa bunga dari dapur,bapak nggowo kembang teko pawon
nenek mencium pisang,embyah ngambung gedhang
anak menyapu buku,lare nyapu buku
